,community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,per_white,per_hisp,per_black,per_asian,per_other,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
23,24.0,West Town,15.7,2.0,22.9,13.4,39596.0,2.033527493,100.0,32.62385816,63.189123251655076,21.012115541764867,6.2366024373201325,5.392185890071888,4.169972879188034,112555.2091,6.0,19166.16,63.75545852
24,25.0,Austin,27.0,5.7,39.0,25.0,15920.0,2.662307607,100.0,36.97618685,5.284360438820696,17.050056272548463,75.67974083073007,0.3355316441050561,1.6503108137957148,35555.36685,21.0,13504.48,56.64335664
25,26.0,West Garfield Park,40.3,8.9,42.5,26.2,10951.0,2.593184239,100.0,33.69940978,2.7654800169810176,3.4811086178664565,92.41312390078234,0.018193947480138275,1.3220935168900478,29443.39623,25.2,13619.53,56.25
26,27.0,East Garfield Park,39.7,7.5,43.2,26.2,13596.0,2.501149719,100.0,32.43991416,5.941908713692946,4.7745504840940525,84.8686030428769,0.8796680497925311,3.5352697095435683,23066.57224,16.4,10358.55,73.57512953
27,28.0,Near West Side,21.6,3.8,22.9,11.2,41488.0,1.879798337,100.0,31.74387646,43.62264391237901,9.989493122771268,24.218352012226184,18.50643148242486,3.6630794701986753,93202.49846,10.7,11929.88,65.02636204
28,29.0,North Lawndale,38.6,7.2,40.9,30.4,12548.0,2.664511606,100.0,32.67097967,4.774832321941871,11.207282018524435,82.66049185563718,0.22037687639731718,1.1370169274992015,30960.59113,18.5,10839.25,62.92834891
29,30.0,South Lawndale,28.1,17.6,33.1,58.7,10697.0,3.301709104,100.0,32.38064169,5.5300064070620065,80.79874706342991,12.960774542606963,0.37018580479817753,0.34028618210294015,36919.74596,11.5,15555.34,40.30501089
30,31.0,Lower West Side,27.2,10.4,35.2,44.3,15467.0,2.437363438,100.0,33.07234766,22.266772771792358,68.27864838393731,3.121939275220372,4.517629774730656,1.8150097943192949,59889.22457,13.0,11519.11,53.58361775
31,32.0,The Loop,11.1,2.0,15.5,3.4,67699.0,1.607897572,100.0,32.57892628,58.97729295395021,9.563404276959849,7.079105957738959,21.072037022910468,3.3081597884405114,113599.1379,4.2,25635.15,103.030303
32,33.0,Near South Side,11.1,1.4,21.0,7.1,60593.0,1.80404463,100.0,37.4720715,51.39520776463452,4.185623293903549,22.490142553836822,19.070367000303307,2.858659387321808,115993.1326,5.7,16176.97,48.87640449
33,34.0,Armour Square,35.8,5.9,37.9,37.5,16942.0,2.446352691,100.0,46.4571369,13.975168918818365,5.588762337227473,8.910938194806162,70.66081224049408,0.8631594612694397,37122.66529,11.6,13890.0,62.0
34,35.0,Douglas,26.1,1.6,31.0,16.9,23098.0,1.871228994,100.0,32.59378349,10.582750582750583,5.370629370629371,65.1002331002331,14.55011655011655,4.396270396270396,35796.1165,16.7,12297.58,63.63636364
35,36.0,Oakland,38.1,3.5,40.5,17.6,19312.0,2.113459745,100.0,33.71515679,4.402696113580955,5.8367990821741005,86.66284239208375,1.6348773841961852,1.4627850279650079,36837.60684,26.6,11722.41,43.10344828
36,37.0,Fuller Park,55.5,4.5,38.2,33.7,9016.0,2.246491228,100.0,47.44558016,5.026018051075269,6.523405448028672,86.6098803763441,0.4658418620071685,1.3888888888888888,17216.78622,40.0,3615.49,64.78873239
37,38.0,Grand Boulevard,28.3,2.7,41.7,19.4,22056.0,2.160666785,100.0,37.49339934,4.12353711605898,3.257425324263805,89.5686340783303,0.7266889179940006,2.3237145633529086,39110.73826,20.6,14131.61,74.71264368
38,39.0,Kenwood,23.1,2.3,34.2,10.8,37519.0,1.877191245,100.0,39.00716846,20.9158691297574,2.247941241931894,66.0137992432673,6.014912085466281,4.80747829957712,52336.4486,11.0,18380.77,48.07692308
39,40.0,Washington Park,39.1,4.9,40.9,28.3,13087.0,2.447174923,100.0,31.47073922,1.8317828713915796,2.2345832933729737,91.67545794571785,0.0,4.258175889517599,23351.06383,23.2,8359.87,67.76315789
40,41.0,Hyde Park,18.2,2.5,26.7,5.3,39243.0,1.792077203,100.0,30.51812367,46.962701103816464,7.51388788687685,24.431859173219824,14.234182237933771,6.857369598153092,52422.56637,6.9,18295.65,60.2484472
41,42.0,Woodlawn,28.3,1.8,37.6,17.9,18928.0,2.186269849,100.0,33.20743754,8.168162829970669,2.8975202204248514,82.25935472402453,3.4041418540574173,3.2708203715225315,27540.98361,17.3,11799.52,71.98067633
42,43.0,South Shore,31.5,2.9,37.6,14.9,18366.0,2.060043499,100.0,37.28693561,3.0223739097459235,2.5995449374288966,92.67349260523322,0.31285551763367464,1.391733029958286,35886.77751,17.7,18420.14,61.09215017
43,44.0,Chatham,25.3,2.2,40.0,13.7,20320.0,2.106423969,100.0,42.30225418,0.8568243350852047,0.8631947762382545,96.46541691352127,0.2452619843924192,1.5703137442267878,39858.57561,19.0,10749.15,49.83050847
44,45.0,Avalon Park,16.7,0.6,41.9,13.3,23495.0,2.281544029,100.0,45.12512307,0.8335938314056477,0.0,94.72420925289153,1.3441700531416068,3.094717099093467,54418.51813,16.6,7566.4,49.6
45,46.0,South Chicago,28.0,5.9,43.1,28.2,15393.0,2.463647091,100.0,34.22471534,2.8588584581512495,20.62247723254495,75.27437702238383,0.3802915568602595,0.8639957300597124,39798.13665,17.7,8173.65,35.02994012
46,47.0,Burnside,22.5,5.5,40.4,18.6,13756.0,2.439189189,100.0,50.02293578,2.522935779816514,7.155963302752294,88.89908256880734,0.0,1.4220183486238533,39351.85185,23.4,4142.62,31.14754098
47,48.0,Calumet Heights,12.0,1.8,42.3,11.2,28977.0,2.371692642,100.0,49.43205394,0.874989872802398,4.399254638256502,93.437575953982,0.06481406465202949,1.2233654703070567,57420.14742,17.2,7478.86,45.14285714
48,49.0,Roseland,19.5,3.1,40.9,17.4,17974.0,2.53693634,100.0,39.0245098,1.5344623072457917,1.3148928652550287,95.30828054412841,0.2675213890921939,1.5748428942785755,44040.6051,17.8,8053.11,43.77593361
49,50.0,Pullman,20.1,1.4,42.0,15.6,19007.0,2.276794658,100.0,42.59615385,12.01794979666246,4.305146543261815,80.38143317907726,0.07011639321273314,3.2253540877857243,48056.72269,21.0,3216.98,22.16981132
50,51.0,South Deering,24.5,6.0,41.4,21.9,15506.0,2.646017699,100.0,35.8992467,4.972266244057052,30.969360802958267,63.69519281563656,0.0,0.3631801373481247,30127.84091,11.8,1294.04,11.10091743
51,52.0,East Side,18.7,8.3,42.5,35.5,15347.0,3.100371216,100.0,33.32199646,12.87282276653289,84.85625257372186,1.7771830343744546,0.30963178223695687,0.1832140987611237,52003.37755,14.5,7289.93,24.83221477
52,53.0,West Pullman,24.3,3.3,42.2,22.6,16228.0,2.703316062,100.0,35.88581024,0.8797764688113577,6.853194381513367,90.20540703821175,0.0,2.061622111463525,46380.45541,17.0,7332.58,29.21348315
53,54.0,Riverdale,61.4,5.1,50.2,24.6,8535.0,2.872770511,100.0,25.86317136,0.9711356892365794,3.655246830321014,95.3736174804424,0.0,0.0,19676.96629,26.4,2057.22,6.515580737
54,55.0,Hegewisch,12.1,4.4,41.6,17.9,22561.0,2.726679358,100.0,39.64860189,36.73550388108108,56.24381257297297,6.828092553513512,0.011027137697297297,0.1837837837837838,57846.64934,9.6,1913.55,8.969465649
55,56.0,Garfield Ridge,9.0,2.6,39.5,19.4,24684.0,2.872589081,100.0,39.74945335,40.85550223307165,52.786485061998945,4.635357430164498,0.9930927348886238,0.7295625398762795,80005.68828,8.1,8378.01,32.62411348
56,57.0,Archer Heights,13.0,8.5,40.5,36.4,16145.0,3.403314917,100.0,33.37723214,14.71218502918791,79.80492130348038,0.7684918347742555,4.522278873863889,0.19212295869356388,48793.10345,14.2,7062.69,33.33333333
57,58.0,Brighton Park,23.0,13.2,39.8,48.2,13138.0,3.313566804,100.0,31.175095,7.402639955064595,79.87736378955252,1.355083317730762,10.571522186856393,0.7933907507957312,45781.71091,11.2,16563.6,53.67647059
58,59.0,McKinley Park,16.1,6.9,33.7,31.8,17577.0,2.869266883,100.0,38.90544707,15.413879050242688,52.761380034107304,1.2068739341466614,29.988193624557262,0.6296733569460842,61814.25486,11.9,11292.91,58.15602837
59,60.0,Bridgeport,17.3,4.8,32.3,25.6,24969.0,2.523802384,100.0,37.4904653,35.39201244560752,20.868229406931807,2.2379545884429297,40.482893953686514,1.0193835012019596,58670.10682,11.2,16125.36,55.02392344
60,61.0,New City,30.6,12.2,42.0,42.4,12524.0,3.136176066,100.0,33.10160771,12.357126339423175,61.82745968900749,23.111124576619112,1.861855715898594,0.8416298881248075,35396.3424,17.4,9032.71,43.27122153
61,62.0,West Elsdon,9.8,8.7,38.7,39.6,16938.0,3.495435527,100.0,32.26247601,14.706041138044593,81.70382767370296,0.6748366895211358,2.7695297737947415,0.14576472493656534,54185.77982,13.5,15721.37,38.46153846
62,63.0,Gage Park,20.8,17.4,40.4,54.1,12014.0,3.816091954,100.0,29.28865696,3.569405099150141,90.97167138810198,4.671388101983003,0.708215297450425,0.07932011331444759,42271.4808,14.0,17972.73,49.54545455
63,64.0,Clearing,5.9,3.4,36.4,18.5,23920.0,2.754502476,100.0,36.08970976,39.00418341399393,56.91903863505865,2.546960872774998,0.5947010089410221,0.9351160692314002,58168.13049,9.6,9597.25,47.45098039
64,65.0,West Lawn,15.3,6.8,41.9,33.4,15898.0,3.635114669,100.0,32.08806051,11.874261550898577,85.08177352154716,2.490516758908028,0.226975934332442,0.32647223431378647,54757.83476,7.8,11410.85,26.77966102
65,66.0,Chicago Lawn,22.2,6.5,40.0,31.6,14405.0,3.280558653,100.0,32.6517204,2.43350311262026,55.39683468961615,39.74981948753976,0.48006556993150284,1.9397771402923327,36277.83964,11.9,15844.48,39.37677054
66,67.0,West Englewood,32.3,6.9,40.9,30.3,10559.0,2.964898205,100.0,40.31692515,1.50240844101231,9.5878889823381,86.90649132196651,0.07645844483523205,1.9267528098478477,26438.54749,34.7,9411.75,53.96825397
67,68.0,Englewood,42.2,4.8,43.4,29.4,11993.0,2.520891945,100.0,35.76229508,1.1580907398156137,3.9329669830600844,92.0931922430628,0.5949407330033153,2.220809301058177,22228.26087,21.3,7937.79,57.00325733
