,pop_dens_sqmi,2020_HH_SIZE,Per_Unemployment,MEDINC,per_other,stop_dens_sqmi
41,-0.195968983,-0.701583131,0.575415563,-1.145587575,0.634869507,71.98067633
42,0.700981161,-0.961185006,0.633042081,-0.845370053,-0.59825925,61.09215017
43,-0.338271294,-0.865797181,0.820328266,-0.702495283,-0.481067776,49.83050847
44,-0.769464758,-0.505638658,0.474569155,-0.178740454,0.519303825,49.6
45,-0.687195578,-0.131118629,0.633042081,-0.704669413,-0.944580587,35.02994012
46,-1.233312549,-0.181419673,1.454219969,-0.72072331,-0.578384869,31.14754098
47,-0.781324526,-0.320235619,0.561008933,-0.070764902,-0.708748462,45.14285714
48,-0.703526129,0.019610806,0.647448711,-0.552058004,-0.478095575,43.77593361
49,-1.358716655,-0.515406393,1.108460858,-0.40758896,0.605032798,22.16981132
50,-1.61923324,0.243951645,-0.216949066,-1.052532331,-1.273234873,11.10091743
51,-0.806920435,1.178392233,0.172029934,-0.265618651,-1.391335449,24.83221477
52,-0.801142287,0.36179362,0.532195674,-0.467888173,-0.158652494,29.21348315
53,-1.515838934,0.710300034,1.886418857,-1.428474478,-1.511567526,6.515580737
54,-1.535303097,0.409843457,-0.533894917,-0.055422641,-1.3909616,8.969465649
55,-0.659509239,0.709926899,-0.749994361,0.741689273,-1.032800771,32.62411348
56,-0.837706517,1.801437679,0.128810045,-0.38109964,-1.385489115,33.33333333
57,0.449460334,1.616858324,-0.303388843,-0.489426399,-0.990914266,53.67647059
58,-0.26460363,0.703094341,-0.202542436,0.087301312,-1.098351862,58.15602837
59,0.390088336,-0.007400983,-0.303388843,-0.02580097,-0.842609207,55.02392344
60,-0.570811616,1.252029838,0.589822192,-0.863012139,-0.959257905,43.27122153
61,0.33535647,1.990896402,0.027963637,-0.18711259,-1.415911156,38.46153846
62,0.640366828,2.650370509,0.099996786,-0.6156975,-1.459514643,49.54545455
63,-0.494328713,0.467065531,-0.533894917,-0.04385822,-0.897908708,47.45098039
64,-0.248625323,2.278165796,-0.79321425,-0.16653445,-1.297323998,26.77966102
65,0.3520352,1.548972515,-0.202542436,-0.831302643,-0.23861181,39.37677054
66,-0.519459932,0.899773326,3.082169114,-1.185244753,-0.247158872,53.96825397
67,-0.719149483,-0.013386702,1.151680747,-1.336698507,-0.054187791,57.00325733
68,-0.593523193,-0.205813192,0.805921636,-1.053186732,-0.570548499,70.14084507
69,-0.648891807,1.260649454,-0.649147954,0.451961127,-0.638153768,26.95473251
70,-0.181816923,-0.104438057,1.569473005,-0.787907289,-0.756931623,46.15384615
71,-0.941332491,0.144336114,-0.79321425,1.821307333,0.991919498,21.3836478
72,-0.607217337,0.171346854,0.719481859,-0.208886567,-0.715020134,40.20979021
73,-0.863297008,0.29042228,-0.922873917,1.380377963,0.80825515,30.25830258
74,-0.924777047,-0.006415932,0.229656452,0.170859341,0.680793216,26.66666667
75,-1.658276723,-0.720302518,-1.239819768,0.037901299,-0.117618026,2.3988006
76,2.588719119,-1.602241219,-0.620334695,-0.039712473,0.856538299,71.83908046
