community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,Per_Unemployment,bus_count,train_count,total_stops,area_square_mile,stop_dens_kmsq,stop_dens_sqmi,area_square_mile,area_kmsq,pop_dens_sqmi,pop_dens_kmsq,2020_POP,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,INCPERCAP
37,Fuller Park,55.5,4.5,38.2,33.7,9016,40,44,2,46,0.71,25,64.78873239,0.71,1.84,3615.49,1395.94,2567,2.246491228,2232.313253,47.44558016,112.1807229,145.6024096,1933.13253,10.39759036,31,17216.78622,14738.4235
38,Grand Boulevard,28.3,2.7,41.7,19.4,22056,20.6,126,4,130,1.74,28.8248337,74.71264368,1.74,4.51,14131.61,5456.21,24589,2.160666785,23669,37.49339934,976,771,21200,172,550,39110.73826,29807.9199
39,Kenwood,23.1,2.3,34.2,10.8,37519,11,50,0,50,1.04,18.58736059,48.07692308,1.04,2.69,18380.77,7096.82,19116,1.877191245,17972,39.00716846,3759,404,11864,1081,864,52336.4486,48781.32701
40,Washington Park,39.1,4.9,40.9,28.3,13087,23.2,102,1,103,1.52,26.14213198,67.76315789,1.52,3.94,8359.87,3227.75,12707,2.447174923,10427,31.47073922,191,233,9559,0,444,23351.06383,16193.1289
41,Hyde Park,18.2,2.5,26.7,5.3,39243,6.9,97,0,97,1.61,23.26139089,60.2484472,1.61,4.17,18295.65,7063.95,29456,1.792077203,27722,30.51812367,13019,2083,6773,3946,1901,52422.56637,48606.06637
42,Woodlawn,28.3,1.8,37.6,17.9,18928,17.3,147,2,149,2.07,27.79850746,71.98067633,2.07,5.36,11799.52,4555.79,24425,2.186269849,22502,33.20743754,1838,652,18510,766,736,27540.98361,20824.41827
43,South Shore,31.5,2.9,37.6,14.9,18366,17.7,179,0,179,2.93,23.58366271,61.09215017,2.93,7.59,18420.14,7112.01,53971,2.060043499,52740,37.28693561,1594,1371,48876,165,734,35886.77751,27282.81953
44,Chatham,25.3,2.2,40,13.7,20320,19,145,2,147,2.95,19.2408377,49.83050847,2.95,7.64,10749.15,4150.25,31710,2.106423969,31395.31764,42.30225418,269,271,30285.31764,77,493,39858.57561,25790.28123
45,Avalon Park,16.7,0.6,41.9,13.3,23495,16.6,62,0,62,1.25,19.13580247,49.6,1.25,3.24,7566.4,2921.39,9458,2.281544029,9596.682362,45.12512307,80,0,9090.682362,129,297,54418.51813,29200.1494
46,South Chicago,28,5.9,43.1,28.2,15393,17.7,117,0,117,3.34,13.52601156,35.02994012,3.34,8.65,8173.65,3155.85,27300,2.463647091,29977,34.22471534,857,6182,22565,114,259,39798.13665,19442.66868
47,Burnside,22.5,5.5,40.4,18.6,13756,23.4,19,0,19,0.61,12.02531646,31.14754098,0.61,1.58,4142.62,1599.47,2527,2.439189189,2180,50.02293578,55,156,1938,0,31,39351.85185,26586.8078
48,Calumet Heights,12,1.8,42.3,11.2,28977,17.2,79,0,79,1.75,17.4392936,45.14285714,1.75,4.53,7478.86,2887.59,13088,2.371692642,12343,49.43205394,108,543,11533,8,151,57420.14742,35883.58973
49,Roseland,19.5,3.1,40.9,17.4,17974,17.8,210,1,211,4.82,16.90705128,43.77593361,4.82,12.48,8053.11,3109.31,38816,2.53693634,39623,39.0245098,608,521,37764,106,624,44040.6051,20781.95404
50,Pullman,20.1,1.4,42,15.6,19007,21,47,0,47,2.12,8.561020036,22.16981132,2.12,5.49,3216.98,1242.08,6820,2.276794658,7131,42.59615385,857,307,5732,5,230,48056.72269,27871.22101
51,South Deering,24.5,6,41.4,21.9,15506,11.8,121,0,121,10.9,4.286220333,11.10091743,10.9,28.23,1294.04,499.63,14105,2.646017699,15144,35.8992467,753,4690,9646,0,55,30127.84091,19183.58743
52,East Side,18.7,8.3,42.5,35.5,15347,14.5,74,0,74,2.98,9.585492228,24.83221477,2.98,7.72,7289.93,2814.64,21724,3.100371216,22923.79466,33.32199646,2950.965891,19452.44734,407.4014388,70.97998976,42,52003.37755,21933.7836
