community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
57,Archer Heights,13,8.5,40.5,36.4,16145,3.403314917,13533,33.37723214,1991,10800,104,612,26,48793.10345,14.2,7062.69,33.33333333
58,Brighton Park,23,13.2,39.8,48.2,13138,3.313566804,42728,31.175095,3163,34130,579,4517,339,45781.71091,11.2,16563.6,53.67647059
59,McKinley Park,16.1,6.9,33.7,31.8,17577,2.869266883,15246,38.90544707,2350,8044,184,4572,96,61814.25486,11.9,11292.91,58.15602837
60,Bridgeport,17.3,4.8,32.3,25.6,24969,2.523802384,32863,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,58670.10682,11.2,16125.36,55.02392344
61,New City,30.6,12.2,42,42.4,12524,3.136176066,38972,33.10160771,4815.819277,24095.39759,9006.86747,725.6024096,328,35396.3424,17.4,9032.71,43.27122153
62,West Elsdon,9.8,8.7,38.7,39.6,16938,3.495435527,18523,32.26247601,2724,15134,125,513,27,54185.77982,13.5,15721.37,38.46153846
63,Gage Park,20.8,17.4,40.4,54.1,12014,3.816091954,35300,29.28865696,1260,32113,1649,250,28,42271.4808,14,17972.73,49.54545455
64,Clearing,5.9,3.4,36.4,18.5,23920,2.754502476,24382,36.08970976,9510,13878,621,145,228,58168.13049,9.6,9597.25,47.45098039
65,West Lawn,15.3,6.8,41.9,33.4,15898,3.635114669,32162,32.08806051,3819,27364,801,73,105,54757.83476,7.8,11410.85,26.77966102
66,Chicago Lawn,22.2,6.5,40,31.6,14405,3.280558653,51243,32.6517204,1247,28387,20369,246,994,36277.83964,11.9,15844.48,39.37677054
67,West Englewood,32.3,6.9,40.9,30.3,10559,2.964898205,26158,40.31692515,393,2508,22733,20,504,26438.54749,34.7,9411.75,53.96825397
68,Englewood,42.2,4.8,43.4,29.4,11993,2.520891945,22019,35.76229508,255,866,20278,131,489,22228.26087,21.3,7937.79,57.00325733
69,Greater Grand Crossing,25.6,4.2,42.9,17.9,17213,2.427328316,29429,36.12857143,257,590,28131,29,422,30109.64912,18.9,8865.07,70.14084507
70,Ashburn,9.5,4.2,36.7,18.3,22078,3.140367186,42902,36.46160558,4320,18331,19324,356,571,71951.49017,8.8,8456.38,26.95473251
71,Auburn Gresham,24.5,4.1,42.1,19.5,16022,2.476619999,46698,38.58927382,488,1397,44152,124,537,37484.19389,24.2,11903.98,46.15384615
72,Beverly,5.2,0.7,38.7,5.1,40107,2.597581589,19817,44.04398955,11126,1179,6562,194,756,110018.1598,7.8,6297.8,21.3836478
73,Washington Heights,15.7,1.1,42.4,15.6,19709,2.610715035,26940,42.20468432,451,393,25722,47,327,53580.48162,18.3,8763.99,40.20979021
74,Mount Greenwood,3.1,1.1,37,4.5,34221,2.668613139,18840,37.9686243,15287,1975,609,303,666,97760.69519,6.9,6873.8,30.25830258
75,Morgan Park,13.7,0.8,39.4,10.9,26185,2.524281346,20534,43.63474981,6242.948365,911.0843373,12608.27022,86,686,64137.0976,14.9,6420,26.66666667
76,O'Hare,9.5,1.9,26.5,11,29402,2.177167912,13498,36.70826483,9104.961477,1115.448903,892,2099.17175,286.718031,60440.97616,4.7,1005.85,2.3988006
77,Edgewater,16.6,3.9,23.4,9,33364,1.748342414,58693,37.07107611,31412,9323,7781,8059,2118,58283.37875,9,32354.02,71.83908046
,,20.58,,,,,,,,,,,,,,13.46,,
