Per_Dependency,Per_No_High_School_Diploma,2020_HH_SIZE,MED_AGE,per_white,per_hisp,per_black,per_asian,per_other,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
-0.751805403,0.334343084,-0.103756133,-0.649090085,0.293795837,1.006719845,-0.907069707,-0.184559547,1.014316912,0.511837508,-0.577114806,0.686279059,61.11111111
-1.264097581,-0.25223858,-0.62845375,-0.900426577,0.9056308,0.362613849,-0.845194543,-0.205481368,0.639912307,0.908878342,-0.836434139,0.909923878,63.78830084
0.342007624,1.238656482,0.605108796,-0.841904853,-0.720885288,1.062287579,-0.100375103,-0.551343279,-0.248573613,-0.642166931,-0.144915918,0.24383548,55.83333333
-1.790235493,-0.667733925,-1.015718824,-0.850754279,1.346827112,-0.197275135,-0.800672981,-0.098726612,1.224927664,1.912570868,-1.052533583,0.80205066,63.75545852
0.438927766,0.277314311,0.277454085,0.08130077,-0.863482193,-0.342228547,1.010587953,-0.569388286,-0.428570649,-0.857291662,1.108460858,0.035016048,56.64335664
0.923528475,0.375077922,0.135292358,-0.620423945,-0.959631535,-0.838653544,1.447038893,-0.598925345,-0.643959353,-1.07715339,1.713539301,0.050602823,56.25
1.020448616,0.375077922,-0.053989309,-0.890146049,-0.838382616,-0.791332492,1.250257812,-0.518741329,0.808411245,-1.306542507,0.445755896,-0.391189106,73.57512953
-1.790235493,-0.846967211,-1.331884007,-1.03920314,0.59994604,-0.600541876,-0.331661337,1.121917017,0.892284883,1.216409077,-0.375421992,-0.178308036,65.02636204
0.701996722,0.717250559,0.281986912,-0.840663165,-0.882931625,-0.555988616,1.192664425,-0.580106626,-0.765413668,-1.022576378,0.748295118,-0.326064702,62.92834891
-0.377970571,3.022842375,1.59247133,-0.902839301,-0.854105528,1.990041016,-0.625288767,-0.566162757,-1.288258759,-0.808211787,-0.260168955,0.312863013,40.30501089
-0.087210146,1.849679048,-0.185174581,-0.754709854,-0.215238729,1.531988549,-0.881911644,-0.180128271,-0.320488899,0.018053517,-0.044069511,-0.233958445,53.58361775
-2.814819848,-1.48243068,-1.89108538,-0.860376481,1.186055403,-0.616130495,-0.778698259,1.360717643,0.659373056,1.950123403,-1.311852916,1.678458234,103.030303
-2.053304449,-1.18099288,-1.48768194,0.187494908,0.896636146,-0.812878612,-0.376737616,1.17440683,0.364393755,2.036240932,-1.095753472,0.39708037,48.87640449
0.286624686,1.295685255,-0.166686945,2.111654631,-0.53174135,-0.761544248,-0.730919223,5.976326074,-0.945129378,-0.800912309,-0.245762325,0.087245631,62
-0.668730996,-0.382590061,-1.349508041,-0.857194796,-0.661234909,-0.769524724,0.734646377,0.753672379,1.373432722,-0.84863134,0.488975785,-0.128492676,63.63636364
0.646613784,-0.325561288,-0.851327139,-0.617051709,-0.897136607,-0.752469732,1.297056325,-0.448448192,-0.55163222,-0.811166522,1.915232116,-0.206415713,43.10344828
0.32816189,0.986100488,-0.577729571,2.323330632,-0.873343499,-0.727349983,1.295674935,-0.557259313,-0.600125684,-1.516972849,3.845720483,-1.30472721,64.78873239
0.812762598,-0.178915872,-0.754239359,0.192062283,-0.907792514,-0.84683708,1.372847067,-0.532980273,0.013342566,-0.729396724,1.05083434,0.119978535,74.71264368
-0.225667491,-0.879555081,-1.337245851,0.516237283,-0.266804693,-0.883769431,0.758474601,-0.040764699,1.643283026,-0.253637314,-0.332202103,0.695647382,48.07692308
0.701996722,0.54616424,-0.164995911,-1.097695722,-0.995272118,-0.884258136,1.427798612,-0.600618795,1.282809842,-1.296308686,1.425406709,-0.661966815,67.76315789
-1.264097581,-1.327638296,-1.512294602,-1.301699187,0.727440897,-0.691112814,-0.326092505,0.724265945,2.988499851,-0.250539459,-0.922873917,0.684115471,60.2484472
0.245087483,-0.301120385,-0.701583131,-0.725780237,-0.753403247,-0.860004342,1.182201706,-0.28376915,0.634869507,-1.145587575,0.575415563,-0.195968983,71.98067633
0.245087483,-0.545529411,-0.961185006,0.147847893,-0.94982552,-0.870905879,1.453829999,-0.571498928,-0.59825925,-0.845370053,0.633042081,0.700981161,61.09215017
0.577385111,-0.643293022,-0.865797181,1.221882812,-1.032487708,-0.934430895,1.552733426,-0.577790377,-0.481067776,-0.702495283,0.820328266,-0.338271294,49.83050847
0.840454067,-0.675880892,-0.505638658,1.826402688,-1.03337445,-0.966011197,1.507318119,-0.475506558,0.519303825,-0.178740454,0.474569155,-0.769464758,49.6
1.006602882,0.538017273,-0.131118629,-0.507929294,-0.956067144,-0.211530197,1.000014991,-0.565222137,-0.944580587,-0.704669413,0.633042081,-0.687195578,35.02994012
